City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
168,Beruwala,LK,2020-04-15 14:30:56,6.48,79.98,82.04,78,92,3.58
169,Katsuura,JP,2020-04-15 14:26:39,35.13,140.3,59.0,47,100,4.7
170,Touros,BR,2020-04-15 14:30:56,-5.2,-35.46,73.4,94,90,8.05
171,Saskylakh,RU,2020-04-15 14:26:40,71.92,114.08,-5.22,91,91,6.06
172,Sao Gabriel Da Cachoeira,BR,2020-04-15 14:30:57,-0.13,-67.09,78.8,88,75,5.82
173,Bonfim,BR,2020-04-15 14:30:57,3.08,-59.95,91.81,34,49,10.54
174,Angoche,MZ,2020-04-15 14:30:57,-16.23,39.91,81.95,75,0,7.16
175,Dingle,PH,2020-04-15 14:30:58,11.0,122.67,79.74,71,10,3.51
176,Lorengau,PG,2020-04-15 14:30:58,-2.02,147.27,82.26,75,99,4.14
177,Great Falls,US,2020-04-15 14:27:23,47.5,-111.3,32.0,63,100,14.99
178,Bathsheba,BB,2020-04-15 14:30:58,13.22,-59.52,86.0,58,40,20.8
179,Bunog,PH,2020-04-15 14:30:58,9.14,117.78,80.37,74,67,4.16
180,Srednekolymsk,RU,2020-04-15 14:30:59,67.45,153.68,-5.42,91,0,9.66
181,East London,ZA,2020-04-15 14:28:49,-33.02,27.91,64.4,88,75,12.75
182,Fare,PF,2020-04-15 14:30:59,-16.7,-151.02,82.94,67,16,5.57
183,Chepareria,KE,2020-04-15 14:30:59,1.31,35.2,75.97,35,45,4.97
184,Muroto,JP,2020-04-15 14:31:00,33.28,134.15,59.85,62,99,5.7
185,Pangnirtung,CA,2020-04-15 14:31:00,66.15,-65.71,15.8,61,90,8.88
186,Kruisfontein,ZA,2020-04-15 14:26:59,-34.0,24.73,66.52,69,14,9.4
187,Kaitangata,NZ,2020-04-15 14:31:01,-46.28,169.85,52.0,85,38,5.99
188,Shelburne,CA,2020-04-15 14:31:01,44.08,-80.2,36.0,80,90,6.93
189,Bambous Virieux,MU,2020-04-15 14:31:01,-20.34,57.76,78.8,78,75,13.87
190,Te Anau,NZ,2020-04-15 14:31:01,-45.42,167.72,48.83,75,58,5.95
191,Ketchikan,US,2020-04-15 14:31:01,55.34,-131.65,42.8,93,75,6.93
192,Indianola,US,2020-04-15 14:31:02,41.36,-93.56,26.6,100,90,3.36
193,Ginda,IN,2020-04-15 14:31:02,30.69,78.49,58.5,27,40,6.08
194,Isangel,VU,2020-04-15 14:26:59,-19.55,169.27,78.4,81,100,11.54
195,Ternate,ID,2020-04-15 14:31:03,0.8,127.4,80.38,80,58,5.68
196,Astana,KZ,2020-04-15 14:31:03,51.18,71.45,50.0,43,80,11.18
197,Deszk,HU,2020-04-15 14:31:03,46.22,20.24,59.0,22,70,7.09
198,Okhotsk,RU,2020-04-15 14:31:04,59.38,143.3,23.16,95,1,1.23
199,Cap Malheureux,MU,2020-04-15 14:31:04,-19.98,57.61,78.8,78,75,13.87
200,La Reforma,MX,2020-04-15 14:31:04,25.08,-108.05,62.01,87,20,3.36
