City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
163,nizwa,OM,86.22,overcast clouds,22.93,57.53,Orient Apartments
164,hoi an,VN,75.2,scattered clouds,15.88,108.33,Belle Maison Hadana Hoi An Resort & Spa managed by H&K Hospitality
165,mahebourg,MU,78.8,broken clouds,-20.41,57.7,Shandrani Beachcomber Resort & Spa
169,breves,BR,87.73,broken clouds,-1.68,-50.48,Hotel e Restaurante Grill
176,tecoanapa,MX,83.21,overcast clouds,16.52,-98.75,Hotel Manglares
184,pangkalanbuun,ID,78.57,overcast clouds,-2.68,111.62,Grand Kecubung Hotel
185,saint pete beach,US,88.0,broken clouds,27.73,-82.74,TradeWinds Island Grand Resort
187,san patricio,MX,77.0,clear sky,19.22,-104.7,Hotel Cabo Blanco
189,sola,VU,78.8,overcast clouds,-13.88,167.55,Leumerus Bungalows
198,marzuq,YE,78.94,scattered clouds,14.4,46.47,
200,sabya,SA,86.0,scattered clouds,17.15,42.63,Aseel Hotel Apartment
202,constantine,DZ,75.2,broken clouds,36.37,6.61,Grand Hotel Cirta
